Numero de producto;Nombre de producto;Unidad de medida de ventas;Nombre Grupo
7000132;ETIQUETA DESENGRASANTE;Und;ENVASES  Y EMPAQUES
3000125;BYC SEAL 04 x 25 KGS;Und;FOSFATOS FABRICADOS
3000651;TADALCOR L-3 x 05 GAL;Und;LUBRICANTES FABRICAD
3000457;OPTIUM SAE 15W 40 API CI4 x CUARTOS;Und;LUBRICANTES FABRICAD
3001602;CINTA TRANSP. 36MM x100 MT PROPAL (adhesivo ind de 47 micras);Und;CINTA COMERCIALIZADA
3000314;KLEANEX AXW 50 % x 20 KGS;Und;FOSFATOS FABRICADOS
3000170;CLEANER REDOX x  70 KGS;Und;GALVAN.  EN CALIENTE
3000171;CLEANER SPRAY x 200 KGS;Und;FOSFATOS FABRICADOS
3000668;TADALSOL S-6 BG x 05 GAL;Und;LUBRICANTES FABRICAD
3000173;CLEANER TOTAL x 200 KGS;Und;GALVAN.  EN CALIENTE
3000174;CLEANER ULTRA S x 70 KGS;Und;GALVAN.  EN CALIENTE
3001098;DIS-INFECTAN G x 01 LTS;Und;LINEA DESINFECTANTES
3001351;BYC FLOC AN-L X 20 KG;Und;PLANTA TTO DE AGUAS
3001328;BYC AL 30% x 20 KGS;Und;PLANTA TTO DE AGUAS
3001109;ALCOHOL ANHIDRO x 01 LTS;Und;LINEA DESINFECTANTES
5000186;DEFLECTOR D.16;Und;REPUESTOS FINISHING
5001395;TANQUE PLASTICO DE 1.15m x 0.8m x 0.75 m;Kg;RPTO LINEA GALVANICA
3001309;DETERGENTE LIQUIDO x 01 LITRO;Und;LINEA DESINFECTANTES
3000992;ROLLO MANUAL 12.5x17x450 MTS BYCSA;Und;ROLLOS FABRICADOS
3001111;DIS-INFECTAN G X 200 LTS;Und;LINEA DESINFECTANTES
5000923;REAR CONE;Und;REPUESTOS FINISHING
3001342;ROLLO SIGMAPLAST 15x15x300 MTS;Und;ROLLOS FABRICADOS
3001051;BYC CATAPHORETIC  x 04 KGS;Und;ADITIVOS FABRICADOS
3000091;BN 83 BASE/BN BASE PLUS x 05 GAL;Und;ADITIVOS FABRICADOS
5001401;MAQUINA CENTRIFUGA PARA SECADO DE PIEZAS A GRANEL;Und;EQP LINEA GALVANICA
3000460;OPTIUM SAE 20W 50 SJ x 05 GAL;Und;LUBRICANTES FABRICAD
3000275;FOSFATION TRI 21 W x  70 KGS;Und;FOSFATOS FABRICADOS
3001603;EDTA 0.1 N x LITRO;LTS;REACTIVOS
3001154;ROLLO MANUAL 15x15x250 BYCSA;Und;ROLLOS FABRICADOS
5001394;TANQUE PLASTICO DE 1.15m x 0.93 m x 0.75 m;Kg;RPTO LINEA GALVANICA
3000455;OPTIUM SAE 15W 40 API CI4 x 05 GAL;Und;LUBRICANTES FABRICAD
5000336;KIT FILTRO MELTER MESH 150;Und;REPUESTOS HOT MELT
5000731;TUBO DE ASPIRACION;Und;REPUESTOS FINISHING
3001121;SOLUCION ANTIBACTERIAL x 200 ML;UND;LINEA DESINFECTANTES
3001122;SOLUCION ANTIBACTERIAL x 1000 ML;Und;LINEA DESINFECTANTES
AF1540M0001;CAMION OPCION DE COMPRA;;ADITIVOS COMERCIALIZ
3000785;OPTIUM GREASE EP2 160 x 16 KG;Und;LUBRICANTES COMERCIA
5000905;PUMP SHAFT 1040, CERAMIC;Und;RPTO LINEA GALVANICA
3001124;GEL ANTIBACTERIAL X 200 ML;UND;LINEA DESINFECTANTES
3001125;GEL ANTIBACTERIAL X 500 ML;UND;LINEA DESINFECTANTES
5000818;TRACTOR NEW HOLLAND FORD 4x4 1920;;PLANTA TTO DE AGUAS
3001126;GEL ANTIBACTERIAL x 1000 ML;UND;LINEA DESINFECTANTES
3001062;ROLLO MANUAL 45x19x450 COMERCIALIZADO;Und;ROLLOS STRETCH COMER
5001224;O-RING;Und;REPUESTOS FINISHING
3001128;GEL ANTIBACTERIAL x 20 LT;UND;LINEA DESINFECTANTES
AF1540M0003;CAMPERO NISSAN ITZ567;;ADITIVOS COMERCIALIZ
5001404;GUN REAR GA03 CPL;Und;REPUESTOS FINISHING
3001129;GEL ANTIBACTERIAL x 60 LT;UND;LINEA DESINFECTANTES
3001130;SOLUCION ANTIBACTERIAL x 20 LTS;Und;LINEA DESINFECTANTES
5001464;GUN CABLE GA03 20M;Und;REPUESTOS FINISHING
5001314;BASE RAMPA (LAMINA ALFAJOR 1500�1000);Und;REPUESTOS FILM MIMA
3001131;SOLUCION ANTIBACTERIAL x 60 LTS;Und;LINEA DESINFECTANTES
3000307;KLEANEX 2000 F x 20 KGS;Und;FOSFATOS FABRICADOS
3001280;ALB.BRW 100 BRIGHTENER ZN x 20 LTS;Und;ADITIVOS COMERCIALIZ
3000869;SERVICIOS DE CAMARA SALINA;Und;FOSFATOS FABRICADOS
5001041;BUFFER GM04;Und;REPUESTOS FINISHING
5000613;SVC KIT SR FLTR 40MESH;Und;REPUESTOS HOT MELT
3000393;OPTIUM CT 343 x  05 GAL;Und;LUBRICANTES FABRICAD
3000136;BZ AL-C x 01 GAL;Und;ADITIVOS FABRICADOS
3001132;DIS-INFECTAN G X 1000 LTS;Und;LINEA DESINFECTANTES
3001459;FREQUENCY CONVERTER ATV312-ZA06;KGS;REPUESTOS FINISHING
3001142;SOLUCION ANTIBACTERIAL  x 100 ML;Und;LINEA DESINFECTANTES
3000769;ZINC ELECTROLITICO;Kg;ANODOS Y METALES
3000540;ROLLO MANUAL 16.6x17x450 BYCSA;Und;ROLLOS FABRICADOS
3001156;DESINFECTANTE MULTIPROPOSITO 24301 x 20 LTS;Und;LINEA DESINFECTANTES
3001157;GEL ANTIBACTERIAL EP x  200 ML;UND;LINEA DESINFECTANTES
5000399;MULTISPRAY ADAPTADOR NF08;Und;REPUESTOS FINISHING
5000034;ANILLO TORICO D12 X 1.50 FPM;Und;REPUESTOS FINISHING
5001508;PLASTIC TUBE D08/5.7 PUR;Und;REPUESTOS FINISHING
5001511;O-RING D013X1.50 EPDM70;Und;REPUESTOS FINISHING
3001571;TADALNOX X  18 KGS NACIONAL;Und;LUBRICANTES FABRICAD
3001158;GEL ANTIBACTERIAL EP x  500 ML;UND;LINEA DESINFECTANTES
5001399;BAFFLE PLATE SFR-08/SFR-09 D=240MM;Und;REPUESTOS FINISHING
3000583;SAL DE ROCHELLE x 05 KGS;kgs;SALES
5001298;CONN,PLUG,7 PIN+GND;Und;REPUESTOS HOT MELT
AF1540M0004;MOTOCARRO TIPO CARGUE;;ADITIVOS COMERCIALIZ
3001160;GEL ANTIBACTERIAL EP x   20 LT;UND;LINEA DESINFECTANTES
3001161;GEL ANTIBACTERIAL EP x   60 LT;UND;LINEA DESINFECTANTES
5001496;PROYECTO GALVATRONI;UND;PLANTA TTO DE AGUAS
3001162;SOLUCION ANTIBACTERIAL EP x 200 ML;Und;LINEA DESINFECTANTES
3001163;SOLUCION ANTIBACTERIAL EP x 60 LTS;Und;LINEA DESINFECTANTES
3000588;SILVER OLD x 20 LITROS;Und;ADITIVOS FABRICADOS
3000617;SULFATO DE COBRE EUR x 10 KGS;KGS;SALES
3001556;ROLLO MANUAL 30x12x250 BYCSA;Und;ROLLOS FABRICADOS
5001479;O.RING 2031;Und;REPUESTOS HOT MELT
3001069;BYC CATION ATC  x  60 KGS;Und;LINEA DE PAPEL
3001166;SOLUCION ANTIBACTERIAL EP x 20 LTS;Und;LINEA DESINFECTANTES
3000006;ACIDO BORICO x 05 KGS;kgs;SALES
5001477;DIAPHRAGMS PIN FLOW REGULATOR;Und;REPUESTOS HOT MELT
3001169;DESINFECTANTE MULTIPROPOSITO 24301 x 01 LTS;Und;LINEA DESINFECTANTES
3000713;UNIFIX 43 L-1 x 20 KGS;Und;FOSFATOS FABRICADOS
3000427;OPTIUM HIDRAFLUID  10 x 05 GAL;Und;LUBRICANTES FABRICAD
3001170;DESINFECTANTE MULTIPROPOSITO 24301 x 04 LTS;Und;LINEA DESINFECTANTES
3001559;BYC LAC SOLUBLE E 406 x 20 KG;Und;ADITIVOS FABRICADOS
AF1540M0006;SEMIREMOLQUE;;ADITIVOS COMERCIALIZ
3001389;DESINFECTANTE DE FRUTAS Y VERDURAS x 04 LITRO;Und;LINEA DESINFECTANTES
5000516;PUMP SHAFT STAINLESS STELL BOMBA 0620 C;Und;RPTO LINEA GALVANICA
5001400;ROTATION BLADE SET SFR-08 INCL. SMALL COMPONENTS AND AXIS WITHOUT 3 POINT SUPPORT;Und;REPUESTOS FINISHING
5001297;CONN HOOD,TOP ENTRY,W/AC;Und;REPUESTOS HOT MELT
5001447;SJZX- CT UV LAMP - 400W 365 NM;Und;EQP LINEA GALVANICA
5001480;OR 2031 TEFLON 7,65 X 1,78;Und;REPUESTOS HOT MELT
3000786;SERVICIO REP Y MANTENIMIENTO HOTMELT;Und;MANTTO HOT MELT
3000541;ROLLO MANUAL 16.6x19x450 BYCSA;Und;ROLLOS FABRICADOS
3001568;ROLLO MAQUINA 50x23x5 KG BYCSA;Und;ROLLOS FABRICADOS
3000437;OPTIUM HIDRAFLUID 46 x 05 GAL;Und;LUBRICANTES FABRICAD
3000630;TADAL CU 133 ACB x 05 GAL;Und;LUBRICANTES FABRICAD
5001416;SEALS KIT LOW PRESSURE F.R.;Und;REPUESTOS FILM MIMA
3000879;ALKA BRIGHT x 01 GAL;Und;ADITIVOS FABRICADOS
3001411;SUAVIZANTE LIQUIDO MANZANA x 20 LITRO;Und;LINEA DESINFECTANTES
5000838;VALVE ASSY, PRESS RLF, CH;Und;REPUESTOS HOT MELT
3000770;ZINC HOT DEGAS x 10 KGS;Und;ADITIVOS FABRICADOS
5001204;BRUSH �12MM;Und;REPUESTOS FINISHING
5001484;GEAR WITH MOTOR 0.25 KW (WITHOUT ENCODER) / ABM;Und;REPUESTOS FINISHING
8;*;;ADITIVOS COMERCIALIZ
3000796;SERVICIO REP Y MANTENIMIENTO PALETIZADORAS;Und;EQUIPOS FILM MIMA
3000252;FOSFATION 23 S LE x 05 GAL;Und;FOSFATOS FABRICADOS
3000861;ALLBRITE BLACK 2000 B x 04 KGS;Und;ADITIVOS COMERCIALIZ
3001201;10X  x 04 LTS;Und;LINEA DESINFECTANTES
3000254;FOSFATION 23 S x 20 KGS;Und;FOSFATOS FABRICADOS
5000568;SEAL SET CRS 15 B  VITON;Und;RPTO LINEA GALVANICA
3001546;OPTIUM 2T JASO FB X 5 GAL;Und;LUBRICANTES FABRICAD
3000258;FOSFATION 34 x  70 KGS;Und;FOSFATOS FABRICADOS
3001487;BYC LAC SOLUBLE R x 4 KG;Und;ADITIVOS FABRICADOS
3000906;BYC OXD P x 20 KG;Und;PLANTA TTO DE AGUAS
3000263;FOSFATION 40 x 31 KGS;Und;FOSFATOS FABRICADOS
3001202;10X  x 20 LTS;Und;LINEA DESINFECTANTES
3000012;ACIDO CROMICO USA X  KGS;KGS;SALES
5001478;SLIDER PIN COMPLETE;Und;REPUESTOS HOT MELT
3000194;CLORURO DE NIQUEL x 05 KGS;KGS;SALES
3000267;FOSFATION 61 x 20 KGS;Und;FOSFATOS FABRICADOS
3000269;FOSFATION DESOX x 15 GAL;Und;FOSFATOS FABRICADOS
3001222;SOLUCION ANTIBACTERIAL EP x 100 ML;Und;LINEA DESINFECTANTES
3000272;FOSFATION PL 30/70 x 200 KGS;Und;FOSFATOS FABRICADOS
3000605;STANYOL 651 x 25 KGS;Und;ADITIVOS FABRICADOS
3001597;GALVABYC YTC PARTE 3 X 4 KG;Und;ADITIVOS COMERCIALIZ
3000277;FOSFEX 80 x 05 GAL;Und;FOSFATOS FABRICADOS
3001410;SUAVIZANTE LIQUIDO MANZANA x 04 LITRO;Und;LINEA DESINFECTANTES
5000642;TOBERA FLAT JET NF08;Und;REPUESTOS FINISHING
3000945;ROLLO YUMBO 50x15x3600 BYCSA;Und;ROLLOS FABRICADOS
9000093;GASTOS PAGADOS POR SU CUENTA CON IVA;Und;OTROS INGRESOS
3000947;ROLLO YUMBO 50x19x3600 BYCSA;Und;ROLLOS FABRICADOS
3000281;FOSFEX 90 LE x 20 KGS;Und;FOSFATOS FABRICADOS
5000015;ADHESIVO HOT MELT RY52546;Kg;ADHESIVOS
3000002;ABRILLANTADOR TROLUME PXNB x 04 KGS;Und;ADITIVOS FABRICADOS
5001217;BOQUILLA;Und;REPUESTOS FINISHING
9000021;FLETES TERRESTRES MED - GUAYAQUIL;Und;OTROS INGRESOS
5000327;JUNTA TORICA 011x1.5 MM;Und;REPUESTOS FINISHING
5000187;DEFLECTOR D.24;Und;REPUESTOS FINISHING
AF1540M0007;TRACTO CAMION CON CUPO;;ADITIVOS COMERCIALIZ
3000284;FOSFEX 90 x 15 GAL;Und;FOSFATOS FABRICADOS
3000285;FOSFEX AS SPECIAL P x 25 KGS;Und;FOSFATOS FABRICADOS
AF1540M0008;VEHICULO CARGUERO CON FURGON 488AAM;;ADITIVOS COMERCIALIZ
5000598;SOPORTE DE ELECTRODO;Und;REPUESTOS FINISHING
3000438;OPTIUM HIDRAFLUID 46 x 55 GAL;Und;LUBRICANTES FABRICAD
3000434;OPTIUM HIDRAFLUID 32 x 55 GAL;Und;LUBRICANTES FABRICAD
5000589;SLEEVE-NW15 MM;Und;REPUESTOS FINISHING
3000472;OPTIUM SAE 85W 140GL-5 MINERAL x 05 GAL;Und;LUBRICANTES FABRICAD
3000761;VITAFILM 6x600 MTS 11 MICRAS ROSADO;Und;ROLLO VITAFILM COMER
3001055;ALCALINE COOPER BRIGHTENER x 04 KGS;Und;ADITIVOS FABRICADOS
AF1520B0060;REBOBINADORA STRECH AZUL CON CONTADOR DE VUELTAS REGULADOR DE VELOCIDAD Y VOLTAJE Y VARIADOR BBC;;ADITIVOS COMERCIALIZ
3001136;FUMIGADORA 7 LITROS;Und;DESINFECCION COMERC
5000708;WASHER FRONT 1040 INLET 2500;Und;RPTO LINEA GALVANICA
5001300;GTE-13 COMPLETE MOVING ANCHOR;Und;REPUESTOS HOT MELT
5000422;ORING 016,70 DURO VITO;Und;REPUESTOS HOT MELT
5000440;ORING 125,70 DURO VITO;Und;REPUESTOS HOT MELT
3000301;KERINSE 30 x 01 GAL;Und;FOSFATOS FABRICADOS
3000192;CLORURO DE AMONIO X 25 KGS;KGS;SALES
5001417;COMPLETE PROPORTIONAL VALVE (WITHOUT CABLE);Und;REPUESTOS FILM MIMA
3001589;ANODOS DE PLOMO CIRCULARES;Und;ANODOS Y METALES
3000306;KLEANEX 170 x 25 KGS;Und;FOSFATOS FABRICADOS
5000143;CESTAS TITANIO 5CMx15CMx90CM;Und;RPTO LINEA GALVANICA
5001414;VLV,SOL,3W,NC,240,1/4G;Und;REPUESTOS HOT MELT
3000618;SULFATO DE COBRE EUR X 25 KGS;KGS;SALES
3000005;ACIDO BORICO GRANULAR X 25 KG;KGS;SALES
5000904;WASHER THRUST 1040/1500 MOTOR END;Und;RPTO LINEA GALVANICA
5000075;BOQUILLA;Und;REPUESTOS HOT MELT
3000557;ROLLO MANUAL 50x17x300 BYCSA;Und;ROLLOS FABRICADOS
3001484;GOODYEAR HYDRA 46 X 05 GAL;Und;LUBRICANTES GOODYEAR
3001580;KLEANEX DEC x 275 GAL;Und;ADITIVOS FABRICADOS
5000746;KIT O-RING 019 VIT 10 PK;Und;REPUESTOS HOT MELT
3000316;KLEANEX DEC F x 05 GAL;Und;FOSFATOS FABRICADOS
3000484;PAN INDICADOR X 100 C.C.;CC3;REACTIVOS
3001531;VICAFIL SL 3440 x 195 KGS;Und;JABONES TREFILACION
AF1520B0061;REBOBINADORA VINIPEL AZUL CON CONTADOR DE VUELTAS REGULADOR DE VELOCIDAD Y VOLTAJE Y VARIADOR BBC;;ADITIVOS COMERCIALIZ
3000322;KLEANEX EA-150 x 01 GAL;Und;FOSFATOS FABRICADOS
3000324;KLEANEX KS-10 LE x 25 KGS;Und;FOSFATOS FABRICADOS
3000073;AYUDA FILTRO x 22.7 kgs;KGS;SALES
3000326;KLEANEX KS-100 x 05 KGS;Und;FOSFATOS FABRICADOS
3001028;GALVASMOOTH 153 IMP x 15 kgs;Und;JABONES TREFILACION
3001186;BOMBA DOSIFICADORA 18.5 KG 310 L/H 7 BAR;;PLANTA TTO DE AGUAS
3000260;FOSFATION 39 F x  70 KGS;Und;FOSFATOS FABRICADOS
3001317;LIMPIAVIDRIOS x 20 LITRO;Und;LINEA DESINFECTANTES
1000213;MP GOLPANOL BEO;Kg;MAT PRIMA QUIMICO
3000332;LAVAPLATOS x GALON;GAL;REACTIVOS
3000469;OPTIUM SAE 50 X 05 GAL;Und;LUBRICANTES FABRICAD
3001591;BLUE TRIVALENT CROMATE R  x 20 KGS;Und;ADITIVOS FABRICADOS
3001548;ROLLO MANUAL 12.5x12x150 BYCSA;Und;ROLLOS FABRICADOS
3001491;AMOQUARTS X 1 LT;UND;LINEA DESINFECTANTES
5000797;MALLA 120  PARA TAMIZ;Und;REPUESTOS FINISHING
3001465;ELITE MOTOBIKE 4T 25W60 JASO MA-2 X 1/4 GAL;Und;LUBRICANTES GOODYEAR
3000206;CROMIST N-70 x 05 GAL;Und;ADITIVOS FABRICADOS
3000344;MIRALLOY TIN SALT B x 01 LTS;Und;METALES PRECIOSOS
5000064;BOLSAS POLIESTER 35 CM X 7CM X 2.5 CM;Und;RPTO LINEA GALVANICA
3000303;KLEANEX 133 x 25 KGS;Und;FOSFATOS FABRICADOS
AF1520B0002;MOTOR MAQUINA DOLCI;;ADITIVOS COMERCIALIZ
AF1520B0016;TANQUE PARA AGUA;;ADITIVOS COMERCIALIZ
5000796;TAMIZADOR JG-300;Und;EQUIPOS FINISHING
3000865;CLING FILM 30X11X50 MTS R;Und;ECOBYC CLING FILM
3000403;OPTIUM ENGRAFLUID 150 x 05 GAL;Und;LUBRICANTES FABRICAD
